event_type,module_code,is_technical,is_core_event,star_category,is_success_action,is_activation_event,is_value_action,error_kind
active_receipt_btn_payment_tap,payments,false,false,,false,false,false,
active_receipt_btn_payment_view,payments,false,false,,false,false,false,
active_receipt_popup_payment_fail_view,payments,false,true,2. Оплата (Помилка),false,false,false,payment_fail
active_receipt_popup_payment_success_view,payments,false,true,2. Оплата (Успіх),true,true,true,
active_receipt_scrn__view,payments,false,false,,false,false,false,
auth_code_btn_resend_tap,profile,false,false,,false,false,false,
auth_code_error_code_sent_view,profile,false,false,,false,false,false,auth_rate_limit
auth_code_error_invalid_view,profile,false,false,,false,false,false,auth_code
auth_code_scrn__view,profile,false,false,,false,false,false,
auth_code_text_field__type,profile,false,false,,false,false,false,
auth_number_error_code_sent_view,profile,false,false,,false,false,false,auth_rate_limit
auth_number_error_invalid_num_view,profile,false,false,,false,false,false,auth_number
auth_number_error_not_registred_view,profile,false,false,,false,false,false,not_registered
auth_number_scrn__view,profile,false,false,,false,false,false,
auth_number_text_field__type,profile,false,false,,false,false,false,
auth_pin_biomid_error_stage_1,profile,false,false,,false,false,false,biometric
auth_pin_biomid_error_stage_2,profile,false,false,,false,false,false,biometric
auth_pin_btn_forgot_tap,profile,false,false,,false,false,false,
auth_pin_btn_reauth_tap,profile,false,false,,false,false,false,
auth_pin_create_btn_face_biomid_allow_tap,profile,false,false,,false,false,false,
auth_pin_create_btn_face_biomid_id_skip_tap,profile,false,false,,false,false,false,
auth_pin_create_error_not_match_view,profile,false,false,,false,false,false,auth_pin
auth_pin_create_scrn__view,profile,false,false,,false,false,false,
auth_pin_create_scrn_repeat_view,profile,false,false,,false,false,false,
auth_pin_error_invalid_view,profile,false,false,,false,false,false,auth_pin
auth_pin_popup_face_touch_id_view,profile,false,false,,false,false,false,
auth_pin_popup_forgot_3_attempts_view,profile,false,false,,false,false,false,auth_pin_locked
auth_pin_scrn__view,profile,false,false,,false,false,false,
auth_pin_text_field__type,profile,false,false,,false,false,false,
completed_receipt_scrn__view,payments,false,false,,false,false,false,
finances_archive_scrn__view,payments,false,false,,false,false,false,
finances_receipts_scrn__view,payments,false,false,,false,false,false,
guardian_scrn__view,guardian,false,false,,false,false,false,
home_access_denied_scrn__view,access,false,false,,false,false,false,access_denied
key_open_btn__click,access,false,true,5. СКД,true,false,true,
keys_main_scrn__view,access,false,false,,false,false,false,
member_details_btn_remove_confirm_tap,objects,false,false,,false,false,false,
member_details_btn_remove_tap,objects,false,false,,false,false,false,
member_details_scrn__view,objects,false,false,,false,false,false,
news_card_urgent_tap,news,false,false,,false,false,false,
news_card_urgent_view,news,false,false,,false,false,false,
news_details_scrn__view,news_read,false,false,,false,false,false,
news_scrn__scroll,news,false,false,,false,false,false,
news_scrn__view,news,false,false,,false,false,false,
news_scrn_update_swipe,news,false,false,,false,false,false,
no_internet_scrn__view,technical,true,false,,false,false,false,no_internet
notifications_btn_header_icon_tap,notifications,false,false,,false,false,false,
notifications_card__tap,notifications,false,false,,false,false,false,
notifications_scrn__view,notifications,false,false,,false,false,false,
object_details_btn_objects_notif_tap,objects,false,false,,false,false,false,
object_details_btn_rqst_approve_tap,objects,false,false,,false,false,false,
object_details_btn_rqst_reject_tap,objects,false,false,,false,false,false,
object_details_popup_request_view,objects,false,false,,false,false,false,
object_details_scrn__view,objects,false,false,,false,false,false,
object_details_scrn_face_biomid_tap,objects,false,false,,false,false,false,
object_switcher_btn_confirm_switch_tap,objects,false,false,,false,false,false,
object_switcher_btn_header_tap,objects,false,false,,false,false,false,
onboarding_1_scrn__view,profile,false,false,,false,false,false,
onboarding_2_scrn__view,profile,false,false,,false,false,false,
onboarding_3_scrn__view,profile,false,false,,false,false,false,
onboarding_4_scrn__view,profile,false,false,,false,false,false,
onboarding_completed,profile,false,false,,false,false,false,
paid_service_description_btn_order_tap,paid_services,false,false,,false,false,false,
paid_service_description_btn_success_ok_tap,paid_services,false,true,4. Платні заявки,true,true,true,
paid_service_description_btn_success_to_request_tap,paid_services,false,false,,false,false,false,
paid_service_description_popup_success_view,paid_services,false,false,,false,false,false,
paid_service_description_scrn__view,paid_services,false,false,,false,false,false,
paid_service_history_scrn__view,paid_services,false,false,,false,false,false,
paid_service_request_btn_payment_tap,paid_services,false,false,,false,false,false,
paid_service_request_btn_payment_view,paid_services,false,false,,false,false,false,
paid_service_request_scrn__view,paid_services,false,false,,false,false,false,
profile_add_mmbr_det_btn_save_tap,profile,false,false,,false,false,false,
profile_add_mmbr_det_scrn__view,profile,false,false,,false,false,false,
profile_add_mmbr_det_scrn_filled_view,profile,false,false,,false,false,false,
profile_add_mmbr_det_text_field_f_name_type,profile,false,false,,false,false,false,
profile_add_mmbr_det_text_field_l_name_type,profile,false,false,,false,false,false,
profile_add_mmbr_det_text_field_m_name_type,profile,false,false,,false,false,false,
profile_add_mmbr_ph_scrn__view,profile,false,false,,false,false,false,
profile_btn_notif_tap,profile,false,false,,false,false,false,
profile_profile_logout_confirm_tap,profile,false,false,,false,false,false,
profile_profile_logout_tap,profile,false,false,,false,false,false,
profile_scrn_details_view,profile,false,false,,false,false,false,
profile_scrn_objects_view,profile,false,false,,false,false,false,
