pattern,problem_category_ua,problem_theme_ua,note
"прибира|прибрал|прибран|підмітал|не мит[иь]|миють|брудн|бруд[^е]|багно|пил[юь]|запах|смород|воня|сміт|урн[аиуо]|мусор|грязн",Чистота та благоустрій,Прибирання,"найчастіша тема негативу — якість прибирання поверхів, холу, ліфтів"
"газон|озелен|дерев|кущ|рослин|клумб|квіт(?:и|ів|ник)|полив|мульч|трав[аиуо]|зелен[іиь]|ландшафт|благоустр",Чистота та благоустрій,Територія та озеленення,"двір, газони, полив — окремо від прибирання: інший підрядник і інші гроші"
"дитяч\w* майданчик|спорт\w* майданчик|майданчик|лавк|альтанк|пісочниц",Чистота та благоустрій,Дитячі та спортмайданчики,
"ліфт",Технічне обслуговування,Ліфти,"згадується і як «не працює», і як «брудно в ліфті» — тема все одно ліфт"
"опаленн|котельн|батаре|тепл[оа]|холодн\w* в квартир|гаряч\w* вод|холодн\w* вод|водопостач|каналізац|стояк|труб[аиуи]|протіка|затопи|вод[аи] в підвал",Технічне обслуговування,Комунікації,
"електрик|лампи|освітлен|світло не|не горить|блима|щит[иок]|електропостач|генератор",Технічне обслуговування,Електрика та освітлення,
"пожежн|сигналізаці|вогнегасн|укритт|підвал",Технічне обслуговування,Пожежна безпека та укриття,"укриття/підвал сюди: у коментарях це завжди про стан приміщення, не про безпеку від людей"
"домофон|відеонагляд|відеоспостереж|камер",Охорона та безпека,Відеонагляд і доступ,
"охорон|охоронц|консьєрж|пост[уі] |не запиту|пропуска|сторонн|безхатьк|прохідний двір|двері (?:відчинен|відкрит)|нетверез|перегар|п'?ян",Охорона та безпека,Робота охорони,"найбільший блок після прибирання — питання до конкретних людей на посту"
"крадіж|вандал|розбит|ламают|поламал|небезпечн|безпек",Охорона та безпека,Вандалізм і безпека,
"тариф|дорог[оа]|вартіст|ціна|ціни|підняли|підвищ|платим|плачу|за що ми плат|грн|оплат|рахунк|перерахун",Тарифи та оплата,Тарифи,
"заявк|звернен|не реагу|реакці|не відповіда|відповід[ьі]|термін|місяцями|тижнями|ігнору|не вирішу|не виконан",Сервіс та комунікація,Робота із заявками,
"чат|телеграм|телефон|додатк|застосун|не додзвон|недозвон|не передзвон|повідомлен|інформу|не попереджа|комунікац",Сервіс та комунікація,Комунікація та канали,"«бот» звідси прибрано: патерн ловив «роботу»/«роботою» — 32 збіги, усі хибні, справжніх згадок бота в даних 0"
"персонал|двірник|працівник|співробітник|прибиральниц|менеджер|управител|керуюч|управляюч",Сервіс та комунікація,Персонал і ставлення,"звужено: «компані» ловило «охоронна компанія» і «дивні компанії» (29 проти 19)"
"парку|машин|авто|транспорт|проїзд|заїзд|шлагбаум|самокат|велосипед",Інфраструктура,Паркування і проїзд,
"фасад|заскленн|балкон|вхідн\w* груп|хол[уі]|під'?їзд|сход[иі]|стін|фарб|штукатур|ремонт|полущ|обдер|недоробл|недобудов|будівництв",Інфраструктура,Фасад і ремонт,
