dataset,table_name,column_name,data_type,ordinal_position
amlitude_EU,EVENTS_407641,adid,STRING,1
amlitude_EU,EVENTS_407641,amplitude_attribution_ids,ARRAY<STRING>,2
amlitude_EU,EVENTS_407641,amplitude_event_type,STRING,3
amlitude_EU,EVENTS_407641,amplitude_id,BIGNUMERIC,4
amlitude_EU,EVENTS_407641,app,INT64,5
amlitude_EU,EVENTS_407641,city,STRING,6
amlitude_EU,EVENTS_407641,client_event_time,TIMESTAMP,7
amlitude_EU,EVENTS_407641,client_upload_time,TIMESTAMP,8
amlitude_EU,EVENTS_407641,country,STRING,9
amlitude_EU,EVENTS_407641,data,JSON,10
amlitude_EU,EVENTS_407641,device_brand,STRING,11
amlitude_EU,EVENTS_407641,device_carrier,STRING,12
amlitude_EU,EVENTS_407641,device_family,STRING,13
amlitude_EU,EVENTS_407641,device_id,STRING,14
amlitude_EU,EVENTS_407641,device_manufacturer,STRING,15
amlitude_EU,EVENTS_407641,device_model,STRING,16
amlitude_EU,EVENTS_407641,device_type,STRING,17
amlitude_EU,EVENTS_407641,dma,STRING,18
amlitude_EU,EVENTS_407641,event_id,INT64,19
amlitude_EU,EVENTS_407641,event_properties,JSON,20
amlitude_EU,EVENTS_407641,event_time,TIMESTAMP,21
amlitude_EU,EVENTS_407641,event_type,STRING,22
amlitude_EU,EVENTS_407641,followed_an_identify,BOOL,23
amlitude_EU,EVENTS_407641,group_properties,JSON,24
amlitude_EU,EVENTS_407641,groups,JSON,25
amlitude_EU,EVENTS_407641,idfa,STRING,26
amlitude_EU,EVENTS_407641,ip_address,STRING,27
amlitude_EU,EVENTS_407641,is_attribution_event,BOOL,28
amlitude_EU,EVENTS_407641,language,STRING,29
amlitude_EU,EVENTS_407641,library,STRING,30
amlitude_EU,EVENTS_407641,location_lat,FLOAT64,31
amlitude_EU,EVENTS_407641,location_lng,FLOAT64,32
amlitude_EU,EVENTS_407641,os_name,STRING,33
amlitude_EU,EVENTS_407641,os_version,STRING,34
amlitude_EU,EVENTS_407641,paying,STRING,35
amlitude_EU,EVENTS_407641,platform,STRING,36
amlitude_EU,EVENTS_407641,processed_time,TIMESTAMP,37
amlitude_EU,EVENTS_407641,region,STRING,38
amlitude_EU,EVENTS_407641,sample_rate,BIGNUMERIC,39
amlitude_EU,EVENTS_407641,server_received_time,TIMESTAMP,40
amlitude_EU,EVENTS_407641,server_upload_time,TIMESTAMP,41
amlitude_EU,EVENTS_407641,session_id,BIGNUMERIC,42
amlitude_EU,EVENTS_407641,start_version,STRING,43
amlitude_EU,EVENTS_407641,user_creation_time,TIMESTAMP,44
amlitude_EU,EVENTS_407641,user_id,STRING,45
amlitude_EU,EVENTS_407641,user_properties,JSON,46
amlitude_EU,EVENTS_407641,uuid,STRING,47
amlitude_EU,EVENTS_407641,version_name,STRING,48
amlitude_EU,users_objects_complexes,amplitude_id,BIGNUMERIC,1
amlitude_EU,users_objects_complexes,event_type,STRING,2
amlitude_EU,users_objects_complexes,phone_number,STRING,3
amlitude_EU,users_objects_complexes,object_selected,STRING,4
amlitude_EU,users_objects_complexes,complex_name,STRING,5
finance_dash,dim_building,building_id,STRING,1
finance_dash,dim_building,building_number,STRING,2
finance_dash,dim_building,complex_id,STRING,3
finance_dash,dim_building,complex_name,STRING,4
finance_dash,dim_building,building_status,STRING,5
finance_dash,dim_building,use_complex_payment_provider,BOOL,6
finance_dash,dim_building,section_count,INT64,7
finance_dash,dim_building,min_floor,INT64,8
finance_dash,dim_building,max_floor,INT64,9
finance_dash,dim_building,named_sections,STRING,10
finance_dash,dim_building,location_id,STRING,11
finance_dash,dim_building,building_created_at,TIMESTAMP,12
finance_dash,dim_customer,user_id,STRING,1
finance_dash,dim_customer,last_name,STRING,2
finance_dash,dim_customer,first_name,STRING,3
finance_dash,dim_customer,patronymic,STRING,4
finance_dash,dim_customer,full_name,STRING,5
finance_dash,dim_customer,phone,STRING,6
finance_dash,dim_customer,is_verified,BOOL,7
finance_dash,dim_customer,user_role,STRING,8
finance_dash,dim_customer,registered_at,TIMESTAMP,9
finance_dash,dim_llc,iban,STRING,1
finance_dash,dim_llc,llc_name,STRING,2
finance_dash,dim_llc,merchant_id,STRING,3
finance_dash,dim_llc,bank_mfo,STRING,4
finance_dash,dim_llc,commission_profile_id,INT64,5
finance_dash,dim_llc,llc_name_clean,STRING,6
finance_dash,dim_residential_complex,complex_id,STRING,1
finance_dash,dim_residential_complex,complex_name,STRING,2
finance_dash,dim_residential_complex,complex_payment_provider,STRING,3
finance_dash,dim_residential_complex,complex_type,STRING,4
finance_dash,dim_residential_complex,complex_created_at,TIMESTAMP,5
finance_dash,dim_service,service_type_code,INT64,1
finance_dash,dim_service,service_name,STRING,2
finance_dash,dim_service,account_service_count,INT64,3
finance_dash,dim_space,space_id,STRING,1
finance_dash,dim_space,section_id,STRING,2
finance_dash,dim_space,house_id,STRING,3
finance_dash,dim_space,section_name,STRING,4
finance_dash,dim_space,building_number,STRING,5
finance_dash,dim_space,complex_id,STRING,6
finance_dash,dim_space,complex_name,STRING,7
finance_dash,dim_space,complex_type,STRING,8
finance_dash,dim_space,space_number,STRING,9
finance_dash,dim_space,floor,INT64,10
finance_dash,dim_space,property_kind,STRING,11
finance_dash,dim_space,property_kind_ua,STRING,12
finance_dash,dim_space,owner_id,STRING,13
finance_dash,dim_space,cached_debt,INT64,14
finance_dash,dim_space,apartment_account_code,STRING,15
finance_dash,dim_space,personal_account,STRING,16
finance_dash,dim_space,commercial_type,STRING,17
finance_dash,dim_space,commercial_dabi_code,STRING,18
finance_dash,dim_space,space_updated_at,TIMESTAMP,19
